『乙女ハウス』、岡山で上映＆トークあります！,2014-08-23,"2014年9月9日（火）夜、岡山市にあるスペースやっちにて、『乙女ハウス』の上映とトークがあります。企画は岡山映画祭スタッフでもある富田真史さん。岡山は3年ぶりの訪問です。是非いらしてください！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『踊る善福寺/ホームレスごっこ』DVD販売開始しました！,2014-08-10,"昨年、ディスロケイトというアート･プロジェクトに参加して制作した『踊る善福寺』と『ホームレスごっこ』の、二本立てDVDの販売を開始しました。DVDは<a href=""http://petiteadventurefilms.com/online_shop.php"" target=""_blank"">こちら</a>よりご購入いただけます。ぜひお買い求めください！"
『踊る善福寺/ホームレスごっこ』DVD発売記念上映＆パーティーやります！,2014-08-09,"2014年9月6日（土）18:00～、『踊る善福寺/ホームレスごっこ』DVD発売記念と、アート･プロジェクトdislocate2014のオープニングを兼ねた上映＆パーティーを杉並区善福寺で開催します！　詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。上映のほか、ライブや今年の参加アーティストたちとの交流も。皆さまのご来場をお待ちしています！"
『乙女ハウス』＆『踊る善福寺』、中篇映画祭（大阪）で上映されます！,2014-08-02,"2014年8月30日（土）から、大阪のシネヌーヴォXで開催される中篇映画祭。期間中、『乙女ハウス』と『踊る善福寺』が、各6回上映されます。9月13日（土）と14日（日）の上映回は、監督舞台挨拶もあります。両作品とも、関西初上映です。ぜひ観にいらしてください！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『ホームレスごっこ』、O!!iDO短編映画祭で上映されます！,2014-05-22,"2014年6月4日（水）、渋谷のアップリンクで開催されるO!!iDO短編映画祭で、短編『ホームレスごっこ』が上映されます。この日のプログラムでは、他に短編6作品が一緒に上映されます。是非いらしてください！　詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『乙女ハウス』、東京・文京区で上映されます！,2014-04-29,"2014年4月30日（水）18:30～、東京・文京区の東洋大学白山キャンパスにて、『乙女ハウス』の上映とトークセッションがあります。主催はNPO法人日本希望製作所。是非いらしてください！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『ブライアンと仲間たち』、板橋区で上映されます！,2014-04-28,"2014年6月14日（土）、東京都板橋区の高島平地域センターにて、『ブライアンと仲間たち』が上映されます。主催は「高島平ドキュメンタリー映画を見る会」。久しぶりの『ブライアン～』上映です。是非いらしてください！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『乙女ハウス』、足利市で上映されます！,2014-04-28,"2014年6月28日（土）、栃木県足利市の足利市民プラザにて『乙女ハウス』が上映されます。上映後には、「女性映画監督として」というテーマでの講演もあります。主催は足利市、足利市女性団体連絡協議会。入場無料。是非いらしてください！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『木田さんと原発』、スペイン・サラゴサの環境映画祭Ecozineで上映されます！,2014-04-21,"2014年5月20日（火）、『木田さんと原発』がEcozine映画祭（スペイン・サラゴサ）の映画祭で上映されます。オフィシャル・セクションの長編作品部門での上映。もしスペインにお友達のいる方は、是非お伝えくださればうれしいです。上映について、詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『木田さんと原発』、ブラジル・リオデジャネイロの国際ウラニウム映画祭で上映されます！,2014-04-21,"2014年5月14日（水）、『木田さんと原発』が国際ウラニウム映画祭（ブラジル・リオデジャネイロ）の映画祭で上映されます。もしブラジルにお友達のいる方は、是非お伝えくださればうれしいです。上映について、詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『木田さんと原発』英語版DVD、販売開始しました！,2014-04-14,"『木田さんと原発、そして日本』の英語字幕付きDVD、発売しました！　英語字幕版は、日本語版を再編集して56分にまとめ、より観やすくなっています。販売価格は日本語版と同じ、1,000円（ただし、英語版には特典映像はありません）。送料は国内向け160円、海外向けは実費です。ぜひ、日本で暮らす外国人のお友だち、または海外のお友だちへ勧めてください！　ご購入は、日本語でのお申し込みは<a href=""http://www.petiteadventurefilms.com/online_shop.php"" target=""_blank"">こちら</a>（備考欄に「英語版希望」とお書きください）、英語でのお申し込みは<a href=""http://www.petiteadventurefilms.com/index.php?lang=en"" target=""_blank"">こちら</a>より可能です。よろしくお願いします！"
